Tue May 30 15:47:07 2017    log_profile.txt

         49575723 function calls (49349779 primitive calls) in 32.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    277/1    0.011    0.000   32.689   32.689 {built-in method builtins.exec}
        1    0.000    0.000   32.689   32.689 run.py:2(<module>)
        1    0.000    0.000   32.278   32.278 run.py:73(main)
        1    0.142    0.142   32.278   32.278 run.py:53(set_up)
    10000    0.266    0.000   32.023    0.003 run.py:26(sim_game)
    30000    1.516    0.000   29.705    0.001 /Users/karo/Documents/Github/Pokerly/Game.py:26(get_score)
   630000    4.666    0.000   21.006    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:168(eval_hand)
   823036    1.805    0.000    5.914    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:16(__eq__)
  1890000    1.555    0.000    5.154    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:69(n_kind)
   535891    0.626    0.000    4.736    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:24(__gt__)
  2276080    4.060    0.000    4.060    0.000 {built-in method builtins.sorted}
  1646072    1.236    0.000    3.775    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:37(sort_cards)
  2632140    2.218    0.000    3.599    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:71(<genexpr>)
   612134    1.836    0.000    3.232    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:144(pair)
   630000    0.563    0.000    2.079    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:82(straight_flush)
  1257642    1.747    0.000    1.955    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:72(is_straight)
  3794240    1.134    0.000    1.576    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:40(add_card)
  9450000    1.381    0.000    1.381    0.000 {method 'count' of 'list' objects}
   627642    0.309    0.000    1.218    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:127(straight)
  1258890    0.817    0.000    0.917    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:77(is_flush)
   630000    0.301    0.000    0.867    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:62(values)
    10000    0.007    0.000    0.737    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:68(shuffle)
   628890    0.284    0.000    0.734    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:119(flush)
   630000    0.266    0.000    0.734    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:66(suits)
    10000    0.222    0.000    0.730    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/random.py:258(shuffle)
    10000    0.011    0.000    0.698    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:50(__init__)
    10000    0.325    0.000    0.687    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:63(fill_deck)
   630000    0.567    0.000    0.567    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:65(<listcomp>)
5004518/4784286    0.474    0.000    0.532    0.000 {built-in method builtins.len}
   108781    0.300    0.000    0.516    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:44(update_hand)
   510032    0.377    0.000    0.507    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/random.py:220(_randbelow)
  4366561    0.497    0.000    0.497    0.000 {method 'append' of 'list' objects}
   630000    0.467    0.000    0.467    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:68(<listcomp>)
   110000    0.141    0.000    0.462    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:71(deal_card)
  1390000    0.428    0.000    0.428    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:7(__init__)
    306/5    0.002    0.000    0.411    0.082 <frozen importlib._bootstrap>:966(_find_and_load)
    306/5    0.001    0.000    0.411    0.082 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
    299/6    0.002    0.000    0.410    0.068 <frozen importlib._bootstrap>:659(_load_unlocked)
    252/6    0.001    0.000    0.409    0.068 <frozen importlib._bootstrap_external>:659(exec_module)
    393/7    0.000    0.000    0.408    0.058 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
  1435128    0.335    0.000    0.335    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:22(__eq__)
   520000    0.313    0.000    0.313    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:16(__init__)
   345/16    0.000    0.000    0.281    0.018 {built-in method builtins.__import__}
        1    0.000    0.000    0.224    0.224 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:101(<module>)
   110000    0.077    0.000    0.206    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:57(add_card)
        1    0.002    0.002    0.178    0.178 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:17(<module>)
 1594/859    0.002    0.000    0.168    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
   625236    0.131    0.000    0.157    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:135(three_of_a_kind)
   629990    0.126    0.000    0.127    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:100(four_of_a_kind)
   629822    0.123    0.000    0.126    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:109(full_house)
   543888    0.121    0.000    0.121    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:31(__lt__)
        1    0.000    0.000    0.113    0.113 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:2949(hist)
        1    0.000    0.000    0.099    0.099 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:918(gca)
        1    0.000    0.000    0.097    0.097 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/cbook.py:7(<module>)
    30000    0.068    0.000    0.094    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:18(__init__)
   763832    0.093    0.000    0.093    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.091    0.091 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/__init__.py:106(<module>)
