Tue May 30 15:33:59 2017    log_profile.txt

         54517750 function calls (54291806 primitive calls) in 33.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    277/1    0.010    0.000   33.989   33.989 {built-in method builtins.exec}
        1    0.000    0.000   33.989   33.989 run.py:2(<module>)
        1    0.000    0.000   33.590   33.590 run.py:73(main)
        1    0.134    0.134   33.590   33.590 run.py:53(set_up)
    10000    0.255    0.000   33.327    0.003 run.py:26(sim_game)
    30000    1.494    0.000   31.129    0.001 /Users/karo/Documents/Github/Pokerly/Game.py:23(get_score)
   630000    4.624    0.000   22.540    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:170(eval_hand)
  2501529    2.054    0.000    6.741    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:66(n_kind)
   823368    1.747    0.000    5.777    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:16(__eq__)
   611529    2.090    0.000    5.222    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:145(pair)
  3894673    2.901    0.000    4.687    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:68(<genexpr>)
   536133    0.600    0.000    4.612    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:24(__gt__)
  2276744    3.960    0.000    3.960    0.000 {built-in method builtins.sorted}
  1646736    1.248    0.000    3.725    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:37(sort_cards)
   630000    0.543    0.000    2.045    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:79(straight_flush)
  1257753    1.711    0.000    1.917    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:69(is_straight)
 12507645    1.786    0.000    1.786    0.000 {method 'count' of 'list' objects}
  3791551    1.106    0.000    1.550    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:40(add_card)
   627753    0.283    0.000    1.176    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:127(straight)
  1258912    0.832    0.000    0.931    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:74(is_flush)
   630000    0.289    0.000    0.828    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:59(values)
    10000    0.007    0.000    0.734    0.000 /Users/karo/Documents/Github/Pokerly/Deck.py:68(shuffle)
    10000    0.221    0.000    0.726    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/random.py:258(shuffle)
   628912    0.255    0.000    0.712    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:119(flush)
